"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"RTFW: An Access Control Model for Workflow Environment","S. Lu; H. Jiang","Department of Computer Science and Engineering, South-East University, Nanjing, China; Department of Computer Science and Engineering, South-East University, Nanjing, China","2006 10th International Conference on Computer Supported Cooperative Work in Design","4 Dec 2006","2006","","","1","5","Access control service is a mandatory function in WFMSs. How to apply a suitable access control model to WFMSs is a challenging issue. In this paper, we present a new model, RTFW, which combines the sense of RBAC and TBAC to meet the need of WFMSs. The model addresses the famous security issue, namely SoD, simplifies the methodology of assigning permissions in WFMSs. Furthermore, the article presents some implementing issues for this model","","1-4244-0164-X","10.1109/CSCWD.2006.253207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019243","Workflow;access control;RBAC;TBAC;SoD","Access control;Permission;Collaborative work;Computer science;Information security;Protection;Design engineering;Data processing;Authorization;Context modeling","authorisation;workflow management software","RTFW;access control service;workflow managemet software;role based acces control;task based access conrol;separation of duty","","1","","8","IEEE","4 Dec 2006","","","IEEE","IEEE Conferences"
"A Dynamically Modified Privilege Control Policy","Sihan Qing; Qingni Shen; Qingguang Ji; Yeping He","Institute of Software, Chinese Academy and Sciences, Beijing, China; Institute of Software, Chinese Academy and Sciences, Beijing, China; Institute of Software, Chinese Academy and Sciences, Beijing, China; Institute of Software, Chinese Academy and Sciences, Beijing, China","2006 IEEE Information Assurance Workshop","10 Jul 2006","2006","","","340","347","Trusted systems typically include trusted processes which possess special privileges. Such privileges can circumvent certain security checks but should be used in a controlled manner. This paper proposes a privilege control policy called DMPC (dynamically modified privilege control). It has two components: a hybrid privilege control model and a new POSIX (portable operating system interface) capability inheritance algorithm. The privilege control model in DMPC is a combination of role based access control (RBAC), domain and type enforcement (DTE) and POSIX capability mechanism while the capability inheritance algorithm serves as an engine to effectively enforce the hybrid privilege control model on a secure operating system. The DMPC's design has given a high priority to supporting least privilege to a finer level of granularity on trusted systems. Additional (sub-) goals for the DMPC policy are: realizing separation of duties among privileged users, achieving separation of trusted functions from untrusted ones and providing a flexible and dynamically mediated capability mechanism. We show that RBAC alone is insufficient to enforce the principle of least privilege in a dynamic context, and that DTE and POSIX capability mechanism can successfully be conjugated with RBAC for this purpose. We also describe an implementation of the DMPC policy on a real system and report on experimental results","","1-4244-0130-5","10.1109/IAW.2006.1652115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652115","","Operating systems;Access control;Control systems;Helium;Process control;Engines;Computer security;Linux;Electronic mail;Availability","application program interfaces;authorisation;Unix","dynamically modified privilege control policy;portable operating system interface;role based access control;trusted systems;security checks","","","1","16","IEEE","10 Jul 2006","","","IEEE","IEEE Conferences"
"Regulated delegation in distributed systems","Xuhui Ao; N. H. Minsky","Ask Jeeves, Inc., Piscataway, NJ, USA; Department of Computer Science, Rutgers University, Piscataway, NJ, USA","Seventh IEEE International Workshop on Policies for Distributed Systems and Networks (POLICY'06)","19 Jun 2006","2006","","","9 pp.","226","Certificate-based delegation (CBD) is a prominent element of distributed access control, providing it with flexibility and scalability. But despite its elegance and effectiveness, CBD has inherent limitations that restrict its applicability. These limitations include, among others: lack of support for non-monotonic policies, such as separation of duties; the inability to support the transfer of privileges, where the delegator loses the privilege it delegates; and the lack of support for quotas, i.e., restrictions on the number of time a given privilege can be exercised. This paper describes an approach to the distributed delegation, which shares much of the flexibility and scalability of CBD, but is not encumbered by its limitations. This approach is based on the decentralized control mechanism called law-governed interaction (LGI), which is used to regulate the process of delegation itself.","","0-7695-2598-9","10.1109/POLICY.2006.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631175","","Scalability;Authorization;Computer science;Access control;Distributed control;Project management;Logic;Public key;Process control;Conferences","authorisation;distributed processing","regulated delegation;distributed systems;certificate-based delegation;distributed access control;nonmonotonic policies;distributed delegation;decentralized control;law-governed interaction","","2","","10","IEEE","19 Jun 2006","","","IEEE","IEEE Conferences"
"A scalable history-based policy engine","P. Gama; C. Ribeiro; P. Ferreira","Distributed Systems Group, INESC-ID/IST, Lisboa, Portugal; Distributed Systems Group, INESC-ID/IST, Lisboa, Portugal; Distributed Systems Group, INESC-ID/IST, Lisboa, Portugal","Seventh IEEE International Workshop on Policies for Distributed Systems and Networks (POLICY'06)","19 Jun 2006","2006","","","10 pp.","112","The increasing complexity and heterogeneity in distributed systems is drawing system administrators into applying usage and access control policy engines. Higher-level policy languages allow policy administrators to demarcate themselves from implementation details, thus focusing on business rule definition. More specifically, history-based policies allow the specification of rules based on events that occurred in the past, such as separation-of-duty related rules (e.g. an employee cannot both issue a voucher and approve the payment). Several policy engines already support history-based semantics. However, they either provide limited expressiveness in policy rules or they neglect critical scalability issues. Individual policy definitions are disregarded in storage and lookup implementations, thus ignoring the potential for important performance optimizations. Furthermore, purging meta-policy semantics are not provided, inducing the growth of the past event repository until policy evaluation becomes unmanageable. We present an extension to the Heimdall system, a history-enabled policy engine which allows the definition, enforcement and auditing of history-based policies. This extension targets the scalability of Heimdall in practical environments, introducing an evaluation optimizer and the concept of purging meta-policy tags. An evaluation built on selected usage patterns corroborates the effectiveness of our approach, denoting encouraging performance results","","0-7695-2598-9","10.1109/POLICY.2006.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631162","","Engines;Scalability;Access control;Peer to peer computing;Optimization;Control systems;Costs;Grid computing;Data security;Scheduling","distributed processing;resource allocation","scalable history-based policy engine;distributed systems;policy rules;policy definitions;Heimdall system;history-enabled policy engine;metapolicy tags;usage patterns","","3","","28","IEEE","19 Jun 2006","","","IEEE","IEEE Conferences"
"Enforcing enterprise-wide policies over standard client-server interactions","Z. He; T. Phan; T. D. Nguyen","Department of Computer Science, Rutgers University, NJ, USA; Department of Computer Science, Rutgers University, NJ, USA; Department of Computer Science, Rutgers University, NJ, USA","24th IEEE Symposium on Reliable Distributed Systems (SRDS'05)","21 Nov 2005","2005","","","119","130","We propose and evaluate a novel framework for enforcing global coordination and control policies over interacting software components in enterprise computing environments. This framework combines a per-node reference monitor with two existing coordination and control systems to enforce policies that, among other properties, are stateful and communal. Each reference monitor filters messages exchanged between the interacting software components similar to a firewall, passing only messages that are allowed by the policies in effect. This filtering approach decouples coordination and control from application implementation, allowing the coordination and control mechanism and application implementations to evolve independently of each other. We demonstrate the power of our framework by using it to specify and enforce an RBAC policy with delegation, revocation, and separation-of-duty over accesses to a cluster of NFS and SMB file servers without changing any client or server implementations. Measurements show that our framework imposes acceptable overheads when enforcing this policy.","1060-9857","0-7695-2463-X","10.1109/RELDIS.2005.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1541190","","Application software;Control systems;File servers;Protocols;Access control;Helium;Computer science;Computerized monitoring;Filters;Filtering","client-server systems;authorisation;message passing;file servers;object-oriented programming","enterprise-wide policy enforcement;client-server interactions;software component interaction;enterprise computing environments;per-node reference monitor;RBAC policy;NFS file servers;SMB file servers","","2","3","22","IEEE","21 Nov 2005","","","IEEE","IEEE Conferences"
"Separable and Anonymous Identity-Based Key Issuing","A. Sui; S. S. M. Chow; L. C. K. Hui; S. M. Yiu; K. P. Chow; W. W. Tsang; C. F. Chong; K. H. Pun; H. W. Chan","Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, University of Hong Kong, Hong Kong, China","11th International Conference on Parallel and Distributed Systems (ICPADS'05)","21 Nov 2005","2005","2","","275","279","In identity-based (ID-based) cryptosystems, a local registration authority (LRA) is responsible for authentication of users while the key generation center (KGC) is responsible for computing and sending the private keys to users and therefore, a secure channel is required. For privacy-oriented applications, it is important to keep in secret whether the private key corresponding to a certain identity has been requested. All of the existing ID-based key issuing schemes have not addressed this anonymity issue. Besides, the separation of duties of LRA and KGC has not been discussed as well. We propose a novel separable and anonymous ID-based key issuing scheme without secure channel. Our protocol supports the separation of duties between LRA and KGC. The private key computed by the KGC can be sent to the user in an encrypted form such that only the legitimate key requester authenticated by LRA can decrypt it. and any eavesdropper cannot know the identity corresponding to the secret key","1521-9097","0-7695-2281-5","10.1109/ICPADS.2005.263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1524305","","Identity-based encryption;Public key cryptography;Public key;Computer science;Councils;Technological innovation;Authentication;Protocols;Security","authorisation;data privacy;message authentication;public key cryptography","anonymous identity-based key issuing scheme;identity-based cryptosystem;local registration authority;key generation center;privacy-oriented application","","18","1","8","IEEE","21 Nov 2005","","","IEEE","IEEE Conferences"
"A practical implementation of transparent encryption and separation of duties in enterprise databases: protection against external and internal attacks on databases","U. T. Mattsson",CTO Protegrity,"Seventh IEEE International Conference on E-Commerce Technology (CEC'05)","31 Oct 2005","2005","","","559","565","Security is becoming one of the most urgent challenges in database research and industry, and there has also been increasing interest in the problem of building accurate data mining models over aggregate data, while protecting privacy at the level of individual records. Instead of building walls around servers or hard drives, a protective layer of encryption is provided around specific sensitive data items or objects. This prevents outside attacks as well as infiltration from within the server itself. This also allows the security administrator to define which data stored in databases are sensitive and thereby focusing the protection only on the sensitive data, which in turn minimizes the delays or burdens on the system that may occur from other bulk encryption methods. Encryption can provide strong security for data at rest, but developing a database encryption strategy must take many factors into consideration. We present column-level database encryption as the only solution that is capable of protecting against external and internal threats, and at the same time meeting all regulatory requirements. We use the key concepts of security dictionary, type transparent cryptography and propose solutions on how to transparently store and search encrypted database fields. Different stored data encryption strategies are outlined, so you can decide the best practice for each situation, and each individual field in your database, to handle different security and operating requirements. Application code and database schemas are sensitive to changes in the data type and data length, the paper presents a policy driven solution that allows transparent data level encryption that does not change the data field type or length.","2378-1971","0-7695-2277-7","10.1109/ICECT.2005.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1524109","","Databases;Cryptography;Protection;Data security;Mining industry;Data mining;Aggregates;Data privacy;Delay;Dictionaries","cryptography;database management systems;data mining;data privacy","transparent encryption;enterprise databases;database protection;database security;data mining;privacy protection;column-level database encryption;security dictionary;type transparent cryptography","","8","4","26","IEEE","31 Oct 2005","","","IEEE","IEEE Conferences"
"PDL with preferences","E. Bertino; A. Mileo; A. Provetti","CERIAS and CS Department, Purdue University, USA; DICO, Università di, Milan, Italy; Dipartimento di Fisica, Università di Messina, Italy","Sixth IEEE International Workshop on Policies for Distributed Systems and Networks (POLICY'05)","27 Jun 2005","2005","","","213","222","In the context of network management, Chomicki, Lobo and Naqvi have defined the specification language Policy Description Language (PDL) and later extended it by introducing monitors: constraints on the actions that the network manager can execute simultaneously. This article proposes PPDL, an extension of PDL with preferences that allows the specification of user-defined preferences on how to apply monitors. The new language adopts Brewka's approach to preferences introducing the ""/spl times/"" ordered disjunction connective. We illustrate the feature of PPDL in two interesting application examples: i) the specification of ""separation of duties"" constraints on user/role assignments in a workflow scenario and ii) an architecture for Web services selection. Since PPDL (as well as PDL) policy specifications can be computed by means of translation into answer set programs, we are able to provide an integrated framework based on answer set programming inferential engine.","","0-7695-2265-3","10.1109/POLICY.2005.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1454320","","Page description languages;Application specific processors;Specification languages;Computer networks;Logic programming;Distributed computing;Computer architecture;Service oriented architecture;Web services;Engines","specification languages;formal specification;computer network management;Internet","network management;specification language;Policy Description Language;user-defined preference specification;Web services selection;policy specification;answer set programming inferential engine","","6","","13","IEEE","27 Jun 2005","","","IEEE","IEEE Conferences"
"A generalized temporal role-based access control model","J. B. D. Joshi; E. Bertino; U. Latif; A. Ghafoor","University of Pittsburgh, Pittsburgh, PA, USA; CERIAS, Purdue University, West Lafayette, IN, USA; Distributed Multimedia Systems Laboratory, MSEE 206, School of ECE, Purdue University, West Lafayette, IN, USA; School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA","IEEE Transactions on Knowledge and Data Engineering","17 Jan 2005","2005","17","1","4","23","Role-based access control (RBAC) models have generated a great interest in the security community as a powerful and generalized approach to security management. In many practical scenarios, users may be restricted to assume roles only at predefined time periods. Furthermore, roles may only be invoked on prespecified intervals of time depending upon when certain actions are permitted. To capture such dynamic aspects of a role, a temporal RBAC (TRBAC) model has been recently proposed. However, the TRBAC model addresses the role enabling constraints only. In This work, we propose a generalized temporal role-based access control (GTRBAC) model capable of expressing a wider range of temporal constraints. In particular, the model allows expressing periodic as well as duration constraints on roles, user-role assignments, and role-permission assignments. In an interval, activation of a role can further be restricted as a result of numerous activation constraints including cardinality constraints and maximum active duration constraints. The GTRBAC model extends the syntactic structure of the TRBAC model and its event and trigger expressions subsume those of TRBAC. Furthermore, GTRBAC allows expressing role hierarchies and separation of duty (SoD) constraints for specifying fine-grained temporal semantics.","1558-2191","","10.1109/TKDE.2005.1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1363762","Index Terms- Access control;role-based;temporal constraints;role hierarchy;separation of duty.","Access control;Security;Permission;Power generation;Energy management;Runtime","authorisation;constraint handling;temporal logic;computational linguistics","generalized temporal role-based access control;security management;GTRBAC model;temporal constraints;user-role assignment;role-permission assignment;cardinality constraints;separation of duty constraints;temporal semantics","","386","1","18","IEEE","17 Jan 2005","","","IEEE","IEEE Journals"
"An experimental study of ERBAC03 for access control administration","B. Yenmunkong; C. Sathitwiriyawong","Faculty of Information Technology,Research Center for Communication and Information Technology (ReCCIT), King Mongkut''s Institute of Technology Ladkrabang, Bangkok, Thailand; Faculty of Information Technology,Research Center for Communication and Information Technology (ReCCIT), King Mongkut''s Institute of Technology Ladkrabang, Bangkok, Thailand","2004 IEEE Region 10 Conference TENCON 2004.","23 May 2005","2004","B","","57","60 Vol. 2","This paper proposes an extension of the conventional role-based access control (RBAC model) called enhanced role-based access control or ERBAC03 model. The model is developed for the role-based access control of information system resources in large organizations that have many branches. Each branch consists of many users with different roles. It is related to a specified static separation of duty constraint in order to prevent fraud of users. We analyze the result of RBAC and ERBAC03 models by a number of experiments based on users' locations. The result proves that the proposed ERBAC03 model eliminates the inaccuracy of access control administration that has incurred in the conventional RBAC model. Any conflicting role is not allowed to be added to the associated database tables.","","0-7803-8560-8","10.1109/TENCON.2004.1414530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1414530","","Access control;Permission;Information technology;Information systems;Security;Databases;Environmental management;Mathematical model;NIST","authorisation;database management systems;constraint theory","enhanced role-based access control;ERBAC03;access control administration;information system resource;static separation;duty constraint;users location;associated database table","","","","9","IEEE","23 May 2005","","","IEEE","IEEE Conferences"
"Leak-free group signatures with immediate revocation","X. Ding; G. Tsudik; S. Xu","School of Information Systems, Singapore Management University, Singapore; Department of Computer Science, University of California, Irvine, USA; Department of Computer Science, University of Texas, San Antonio, USA","24th International Conference on Distributed Computing Systems, 2004. Proceedings.","28 Feb 2005","2004","","","608","615","Group signatures are an interesting and appealing cryptographic construct with many promising potential applications. This work is motivated by attractive features of group signatures, particularly, their potential to serve as foundation for anonymous credential systems. We reexamine the entire notion of group signatures from a systems perspective and identify two new security requirements: leak-freedom and immediate-revocation, which are crucial for a large class of applications. We then present a new group signature scheme that achieves all identified properties. Our scheme is based on the so-called systems architecture approach. It is more efficient than the state-of-the-art and facilitates easy implementation. Moreover, it reflects the well-known separation-of-duty principle. Another benefit of our scheme is the obviated reliance on underlying anonymous communication channels, which are necessary in previous schemes.","1063-6927","0-7695-2086-3","10.1109/ICDCS.2004.1281628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1281628","","Security;Computer science;Public key;Management information systems;Information management;Public key cryptography;Application software;Communication channels;Ear;Protocols","message authentication;telecommunication security;cryptography;open systems;telecommunication channels;groupware","leak-free group signatures;immediate revocation;cryptography;credential systems;security requirements;systems architecture;communication channels","","12","2","35","IEEE","28 Feb 2005","","","IEEE","IEEE Conferences"
"SOWAC: a service-oriented workflow access control model","Xu Wei; Wei Jun; Liu Yu; Li Jing","Technology Center of Software Engineering, Institute of Software, Chinese Academy and Sciences, Beijing, China; Technology Center of Software Engineering, Institute of Software, Chinese Academy and Sciences, Beijing, China; Technology Center of Software Engineering, Institute of Software, Chinese Academy and Sciences, Beijing, China; Technology Center of Software Engineering, Institute of Software, Chinese Academy and Sciences, Beijing, China","Proceedings of the 28th Annual International Computer Software and Applications Conference, 2004. COMPSAC 2004.","18 Oct 2004","2004","","","128","134 vol.1","Workflow access control is the fundamental issue in workflow security. With the development of enterprise globalization and the constant re-engineering and optimizing of enterprise business, the organization becomes more dynamic and its business process is frequently changing. As a result, workflow access control turns more complicated and entails a comparatively operational mechanism. To solve the problem, in view of decoupling workflow access control model from workflow model, we propose a service-oriented workflow access control (SOWAC) model in this paper. In the SOWAC model, service is the abstraction of a task and the unit for applying access control. We present the elements of the SOWAC model and illustrate the enforcement of SOWAC with an example workflow. Then the dynamic separation of duty for the SOWAC model is proposed based on the authorization history of services. By applying SOWAC in a real workflow management system, we show that the SOWAC model is practical and effective.","0730-3157","0-7695-2209-2","10.1109/CMPSAC.2004.1342816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1342816","","Access control;Security;Business process re-engineering;Workflow management software;Authorization;Application software;Globalization;History;Software engineering;Automation","workflow management software;middleware;business process re-engineering;authorisation","service-oriented workflow access control;authorization history;workflow management system;middleware;workflow security;enterprise globalization;enterprise business re-engineering;SOWAC model","","7","","13","IEEE","18 Oct 2004","","","IEEE","IEEE Conferences"
"The consistency of task-based authorization constraints in workflow","K. Tan; J. Crampton; C. A. Gunter","Department of Computer Science, University of Pennsylvania, USA; Information Security Group, Royal Holloway, University of London, UK; Department of Computer Science, University of Pennsylvania, USA","Proceedings. 17th IEEE Computer Security Foundations Workshop, 2004.","12 Jul 2004","2004","","","155","169","Workflow management systems (WFMSs) have attracted a lot of interest both in academia and the business community. A workflow consists of a collection of tasks that are organized to facilitate some business process specification. To simplify the complexity of security administration, it is common to use role-based access control (RBAC) to grant authorization to roles and users. Typically, security policies are expressed as constraints on users, roles, tasks and the workflow itself. A workflow system can become very complex and involve several organizations or different units of an organization, thus the number of security policies may be very large and their interactions very complex. It is clearly important to know whether the existence of such constraints will prevent certain instances of the workflow from completing. Unfortunately, no existing constraint models have considered this problem satisfactorily. In this paper, we define a model for constrained workflow systems that includes local and global cardinality constraints, separation of duty constraints and binding of duty constraints. We define the notion of a workflow specification and of a constrained workflow authorization schema. Our main result is to establish necessary and sufficient conditions for the set of constraints that ensure a sound constrained workflow authorization schema, that is, for any user or any role who are authorized to a task, there is at least one complete workflow instance when this user or this role executes this task.","1063-6900","0-7695-2169-X","10.1109/CSFW.2004.1310739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1310739","","Authorization;Workflow management software;Access control;Computer science;Information security;Business process re-engineering;Sufficient conditions;Automation;History;Permission","authorisation;computational complexity;workflow management software;constraint handling;formal specification","task-based authorization constraints;workflow system constraints;workflow management systems;business process specification;security administration complexity;role-based access control;security policies;constraint model;cardinality constraints;duty constraints;workflow specification;workflow authorization","","10","","18","IEEE","12 Jul 2004","","","IEEE","IEEE Conferences"
"Cassandra: distributed access control policies with tunable expressiveness","M. Y. Becker; P. Sewell","Computer Laboratory, University of Cambridge, Cambridge, UK; Computer Laboratory, University of Cambridge, Cambridge, UK","Proceedings. Fifth IEEE International Workshop on Policies for Distributed Systems and Networks, 2004. POLICY 2004.","6 Jul 2004","2004","","","159","168","We study the specification of access control policy in large-scale distributed systems. Our work on real-world policies has shown that standard policy idioms such as role hierarchy or role delegation occur in practice in many subtle variants. A policy specification language should therefore be able to express this variety of features smoothly, rather than add them as specific features in an ad hoc way, as is the case in many existing languages. We present Cassandra, a role-based trust management system with an elegant and readable policy specification language based on Datalog with constraints. The expressiveness (and computational complexity) of the language can be adjusted by choosing an appropriate constraint domain. With just five special predicates, we can easily express a wide range of policies including role hierarchy, role delegation, separation of duties, cascading revocation, automatic credential discovery and trust negotiation. Cassandra has a formal semantics for query evaluation and for the access control enforcement engine. We use a goal-oriented distributed policy evaluation algorithm that is efficient and guarantees termination. Initial performance results for our prototype implementation have been promising.","","0-7695-2141-X","10.1109/POLICY.2004.1309162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1309162","","Access control;Specification languages;Security;Engines;Large-scale systems;Computational complexity;Prototypes;Distributed computing;Laboratories;Query processing","specification languages;computational complexity;formal languages;query languages;distributed algorithms;object-oriented programming;authorisation;formal specification","Cassandra;distributed access control policies;tunable expressiveness;access control policy specification;large-scale distributed systems;standard policy idioms;role hierarchy;role delegation;policy specification language;role-based trust management system;Datalog with constraints;computational complexity;constraint domain;separation of duties;cascading revocation;automatic credential discovery;trust negotiation;formal semantics;query evaluation;access control enforcement engine;goal-oriented distributed policy evaluation","","86","15","22","IEEE","6 Jul 2004","","","IEEE","IEEE Conferences"
"From conflict of interest to separation of duties in WS-policy for Web services matchmaking process","P. C. K. Hung","Commonwealth Scientific and Industrial Research Organization (CSIRO), ICT Research Centre, Canberra, ACT, Australia","37th Annual Hawaii International Conference on System Sciences, 2004. Proceedings of the","26 Feb 2004","2004","","","10 pp.","","A Web service is defined as an autonomous unit of application logic that provides either some business functionality or information to other applications through an Internet connection. Web services are based on a set of XML standards such as simple object access protocol (SOAP), universal description discovery and integration (UDDI) and Web services description language (WSDL). Web services architectures are built on an insecure, unmonitored and shared environment, which is open to events such as security threats. Security concerns are the major barrier that prevents many business organizations from implementing or employing Web services. Based on the previous research in conflict of interest (CIR), this paper further introduces another important security concept called separation of duties (SoD) for Web services matchmaking process (WSMP). Next, this paper discusses the relationships between CIR and SoD in the context of matchmaking process. The paper then extends these two concepts into specifying and implementing CIR and SoD assertions in the newly developed WS-policy. WS-policy is an XML representation that provides a grammar for expressing Web services policies, to allow service locators to have a common interpretation of security requirements in the matchmaking process. Further, this paper presents a matchmaking algorithm for maximizing the level of SoD. Lastly, this paper also describes a prototype framework with ""CIRService"" and ""SoDService"" services for supporting CIR and SoD assertions in matchmaking process.","","0-7695-2056-1","10.1109/HICSS.2004.1265212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265212","","Web services;Security;XML;Simple object access protocol;Logic;Web and internet services;Organizational aspects;Australia;Service oriented architecture;Prototypes","security of data;Internet;XML","WS-policy;separation of duties;Web services matchmaking process;conflict of interest;XML representation;grammar;Web services policy;security requirement;matchmaking algorithm;CIRService;SoDService","","2","2","29","IEEE","26 Feb 2004","","","IEEE","IEEE Conferences"
"A formal model for flat role-based access control","E. J. Khayat; A. E. Abdallah","Centre for Applied Formal Methods, London South Bank University, London, UK; Centre for Applied Formal Methods, London South Bank University, London, UK","ACS/IEEE International Conference on Computer Systems and Applications, 2003. Book of Abstracts.","8 Sep 2003","2003","","","75","","Summary form only given. Role-based access control (RBAC) is very useful for providing a high level description of access control. It enables a better understanding of the security problems in an institution because it bridges the gap between their technical aspects and their managerial descriptions. Several models have been devised to describe RBAC. However, the definitions of some of the concepts of RBAC, such as subject, role and permission, were open to many interpretations. Also, the devised models for RBAC, did not detail the analysis of the access operations in RBAC. We formalize each of the basic concepts of RBAC for their definitions to be clear and precise. Based on these definitions, a formal state-based model for flat role based access control (FRBAC) is constructed and described in the specification notation Z. This approach permits the close examination of the states in the system. Consequently, it helps to analyse in depth the access operations of RBAC. The model is also refined by supporting the concepts of active roles and private permissions. In the future, the model can be enhanced by extending it to model the delegation and revocation of roles. Other developments of this model include the support of the separation of duty constraints.","","0-7803-7983-7","10.1109/AICCSA.2003.1227507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1227507","","Access control;Security;Permission;Bridges;Authorization","authorisation;specification languages;formal specification","flat role-based access control;FRBAC;security problems;formal state-based model;Z specification notation;private permissions;duty constraint separation;authorisation","","5","","","IEEE","8 Sep 2003","","","IEEE","IEEE Conferences"
"A contextual role-based access control authorization model for electronic patient record","G. H. M. B. Motta; S. S. Furuie","Department of Informatics, Federal University of Paraiba, Joao Pessoa, Paraiba, Brazil; Division of Information, Heart Institute (InCor), University of São Paulo Medical School, Sao Paulo, Brazil","IEEE Transactions on Information Technology in Biomedicine","8 Sep 2003","2003","7","3","202","207","The design of proper models for authorization and access control for electronic patient record (EPR) is essential to a wide scale use of EPR in large health organizations. In this paper, we propose a contextual role-based access control authorization model aiming to increase the patient privacy and the confidentiality of patient data, whereas being flexible enough to consider specific cases. This model regulates user's access to EPR based on organizational roles. It supports a role-tree hierarchy with authorization inheritance; positive and negative authorizations; static and dynamic separation of duties based on weak and strong role conflicts. Contextual authorizations use environmental information available at access time, like user/patient relationship, in order to decide whether a user is allowed to access an EPR resource. This enables the specification of a more flexible and precise authorization policy, where permission is granted or denied according to the right and the need of the user to carry out a particular job function.","1558-0032","","10.1109/TITB.2003.816562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1229859","","Access control;Authorization;Context modeling;Paramagnetic resonance;NIST;Permission;Biomedical informatics;Heart;Data privacy","authorisation;medical information systems;records management;data privacy","contextual role-based access control;authorization model;electronic patient record;large health organizations;patient privacy;data confidentiality;organizational roles;role-tree hierarchy","Algorithms;Computer Security;Confidentiality;Database Management Systems;Decision Support Techniques;Information Storage and Retrieval;Medical Records Systems, Computerized;Professional-Patient Relations","62","","18","IEEE","8 Sep 2003","","","IEEE","IEEE Journals"
"A temporal-logic extension of role-based access control covering dynamic separation of duties","T. Mossakowski; M. Drouineaud; K. Sohr","BISS, Department of Computer Science, University of Brethemen, Bremen, Germany; BISS, Department of Computer Science, University of Brethemen, Bremen, Germany; BISS, Department of Computer Science, University of Brethemen, Bremen, Germany","10th International Symposium on Temporal Representation and Reasoning, 2003 and Fourth International Conference on Temporal Logic. Proceedings.","28 Jul 2003","2003","","","83","90","Security policies play an important role in today's computer systems. We show some severe limitations of the wide-spread standard role-based access control (RBAC) model, namely that object-based dynamic separation of duty as introduced by Nash and Poland cannot be expressed with it. We suggest to overcome these limitations by extending the RBAC model with an execution history. The natural next step is then to add temporal logic for the specification of execution orders. We show that with this, object-based dynamic separation of duty, as well as other policies, can be adequately specified.","1530-1311","0-7695-1912-1","10.1109/TIME.2003.1214883","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214883","","Access control;Logic;Computer science;Computer security;NIST;Permission;National security;History;Banking;Humans","security of data;temporal logic;authorisation","temporal logic;role-based access control;dynamic duty separation;RBAC model;object-based dynamic separation","","14","","20","IEEE","28 Jul 2003","","","IEEE","IEEE Conferences"
